Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Solomon Islands,Western Pacific,5043,734.185,1069,155.63,131,68,9.9,28,4.076,3
Saint Barthélemy,Americas,3633,36752.656,0,0,0,4,40.465,0,0,0
Palau,Western Pacific,3375,18654.654,419,2315.941,72,5,27.637,5,27.637,1
Kiribati,Western Pacific,2737,2291.354,564,472.168,72,9,7.535,8,6.697,1
Anguilla,Americas,2497,16644.447,61,406.612,0,9,59.992,0,0,0
Saint Pierre and Miquelon,Americas,965,16652.286,44,759.275,0,1,17.256,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Sint Eustatius,Americas,436,13889.774,21,669.003,1,3,95.572,0,0,0
Saba,Americas,204,10553.544,4,206.932,1,0,0,0,0,0
Montserrat,Americas,163,3260.652,0,0,0,2,40.008,0,0,0
Tonga,Western Pacific,141,133.403,75,70.959,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,105,3014.643,14,401.952,0,0,0,0,0,0
American Samoa,Western Pacific,57,103.266,0,0,0,0,0,0,0,0
Samoa,Western Pacific,33,16.632,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,7,2.279,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,3,17.08,3,17.08,2,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
